station_id,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,altim_in_hg
KFTK,37.907,-85.973,30,21,220,9,30.08
KCBG,45.557,-93.264,29,21,170,12,30.04
PKWA,8.72,167.724,28.1,24.5,60,10,29.76
PAEH,58.652,-162.062,8,8,20,20,29.40
MMCV,23.706,-98.959,33,21,190,7,30.03
KXER,27.946,-90.997,30,25,0,0,30.10
KSFZ,41.9168,-71.4924,26,26,240,5,30.19
KQFX,-99.99,-99.99,22,21,0,0,29.66
KQFV,-99.99,-99.99,20,22,90,1,
KQFU,-99.99,-99.99,23,22,350,2,29.71
KQFT,-99.99,-99.99,23,22,40,1,29.66
KQFB,-99.99,-99.99,21,21,110,1,29.75
KQEX,-99.99,-99.99,24,22,170,3,29.60
KQEW,-99.99,-99.99,25,27,10,1,
KQEV,-99.99,-99.99,23,21,270,1,29.64
KQEQ,-99.99,-99.99,23,23,20,2,29.70
KQEP,-99.99,-99.99,22,22,20,1,29.69
KQEJ,-99.99,-99.99,21,20,60,1,29.69
KQEI,-99.99,-99.99,21,21,150,1,29.71
KPRS,29.6346,-104.358,34.5,12.6,80,8,30.07
KPO1,48.134,-105.162,35,17,180,7,29.84
KP08,32.9359,-111.427,40,10,260,9,29.89
KJRB,40.701,-74.009,27,23,220,5,30.17
KGUL,27.3039,-93.5383,,,0,0,30.08
KELY,39.2954,-114.847,32.2,-2.8,360,12,30.29
KDWH,30.068,-95.5563,22.2,21.1,0,0,30.11
KDUB,43.5485,-109.684,29,-4,340,18,30.30
KDSF,28.3426,-88.2649,33,24,0,0,30.11
K2DP,35.672,-75.892,30,25,170,18,30.14
BGTL,76.527,-68.758,3,1,300,4,29.56
PASA,63.689,-170.49,6,6,60,7,29.56
KSBY,38.3409,-75.5132,21.7,21.1,260,6,30.19
KOFP,37.7093,-77.4349,25.6,24.4,0,0,30.16
KNUI,38.152,-76.432,25,25,70,6,30.13
KLBX,29.1154,-95.4632,,,,,30.09
KHRO,36.2673,-93.1566,24.4,21.7,0,0,30.15
KFBG,35.131,-78.932,25,24,70,4,30.07
KCHS,32.8994,-80.0407,27.2,24.4,10,5,30.04
KAFF,38.971,-104.816,36,-10,340,15,30.20
KACV,40.9784,-124.105,16.1,12.2,280,5,29.94
EHGR,51.565,4.935,14,13,280,5,29.88
BIEG,65.275,-14.409,15,8,200,11,29.82
YMLT,-41.544,147.213,5,4,350,4,29.88
PASV,61.101,-155.577,12,4,150,15,29.66
PARY,64.731,-155.463,15,13,80,7,29.75
PACV,60.486,-145.445,15.6,9.4,70,3,30.06
KPNE,40.0789,-75.0133,26.7,22.2,0,0,30.17
KOWB,37.7297,-87.1683,29,23,290,4,30.10
KNTU,36.8209,-76.0277,25.6,25,40,9,30.13
KMGY,39.5918,-84.2263,27.8,20.6,230,5,30.12
KFAY,34.9895,-78.8801,25,24.4,30,4,30.08
EBFN,51.09,2.653,14,10,320,8,29.94
TLPL,13.743,-60.948,27,26,120,6,29.97
PATL,62.893,-155.977,13,9,80,3,29.72
KTTN,40.2768,-74.8159,26.1,22.2,0,0,30.16
KSOP,35.2371,-79.3921,23,22,0,0,30.10
KSBA,34.4241,-119.842,19.4,16.1,VRB,4,29.89
KFMY,26.584,-81.8615,31.1,23.3,360,9,30.08
KDAA,38.714,-77.178,27,23,0,0,30.12
KAFP,35.0194,-80.0784,29.7,22.8,100,8,30.07
KACY,39.452,-74.567,25.6,23.9,200,8,30.17
CYEN,49.207,-102.963,27,19,360,10,29.93
PAPG,56.805,-132.935,13,13,330,3,30.26
PAMB,58.986,-159.05,11,10,140,17,29.54
KWRI,40.016,-74.591,27,24,190,6,30.15
KSYN,44.474,-93.014,28,17,170,7,30.06
KRDU,35.8923,-78.782,23.9,22.2,0,0,30.11
KPIL,26.1597,-97.3378,26.7,23.3,20,3,30.04
KPEX,45.3725,-94.7388,28,17,150,11,30.04
KLVJ,29.5192,-95.2423,30.6,22.8,10,5,30.12
KLOU,38.2302,-85.6629,29.4,21.1,180,9,30.09
KI69,39.078,-84.21,24,21.4,50,6,30.13
KGLS,29.2704,-94.8642,30,25,10,8,30.10
KDAN,36.5729,-79.335,22.8,22.2,360,6,30.14
KBBB,45.331,-95.6469,28,18,170,10,30.00
KAUM,43.6688,-92.9321,28,19,150,7,30.09
KAEL,43.6823,-93.3722,27,19,170,11,30.07
EHVL,53.297,5.086,15,13,320,9,29.82
CYFC,45.873,-66.539,25,24,50,4,30.07
TJPS,18.011,-66.567,34,27,140,17,29.99
SBRJ,-22.91,-43.163,22,18,210,10,30.24
SBBG,-31.391,-54.112,11,3,150,8,30.47
RJOS,34.132,134.609,23,22,290,2,29.70
PAUT,54.145,-165.604,7,7,330,13,29.64
PAKX,60.198,-154.323,13,3,50,3,29.68
PACM,61.846,-165.579,9,9,0,0,29.45
PAAD,70.136,-146.29,6.8,1,30,4,29.83
KZPH,28.2268,-82.1564,31.4,21.8,320,12,30.09
KZER,40.7072,-76.371,21,18,110,5,30.22
KY70,42.9398,-85.0653,28.5,16.5,150,3,30.12
KY63,45.9891,-95.9946,28.7,18.9,160,15,29.99
KY51,43.5814,-90.8997,28.2,15.9,170,8,30.12
KY49,47.1599,-94.6433,27.6,16.9,200,10,30.00
KY31,44.2434,-84.18,27.5,17.3,130,4,30.14
KY23,45.311,-91.638,29.8,18.2,210,8,30.09
KY19,46.7648,-100.894,31,25,100,9,29.89
KXSA,37.8606,-76.9016,24.5,24.5,0,0,30.15
KXNX,36.3745,-86.41,33,19,0,0,30.12
KXLL,40.5704,-75.4894,27,21,270,4,30.19
KXBP,33.1729,-97.8268,34.3,16.4,150,6,30.07
KX60,29.3524,-82.4743,34.6,17.9,280,3,30.05
KX26,27.813,-80.497,30.6,24.2,120,9,30.07
KX07,27.8934,-81.6167,35,21,VRB,4,30.04
KWYS,44.6811,-111.124,29,0,210,10,30.25
KWDR,33.981,-83.667,33,13,0,0,30.09
KW99,38.9947,-79.1421,30.8,16.3,0,0,30.10
KW96,37.5027,-77.126,24.6,23.4,0,0,30.14
KW81,37.1813,-78.0977,25,23.1,40,6,30.14
KW78,36.7087,-78.846,23,22.1,270,5,30.15
KW75,37.6024,-76.4477,23.3,22.5,0,0,30.14
KW63,36.6008,-78.5559,22,22,180,5,30.12
KW43,44.6607,-104.568,33,4,340,6,30.06
KW31,36.9599,-78.1838,24.9,24.2,60,4,30.13
KW22,39.001,-80.2712,33,14,0,0,30.14
KW13,38.077,-78.944,21.8,20.9,110,5,30.21
KVYS,41.3517,-89.1496,28.8,19.1,0,0,30.11
KVVV,45.2994,-96.4256,29,20,170,13,29.96
KVVS,39.9581,-79.6575,31.8,14,300,5,30.14
KVTP,37.512,-105.171,17,0,160,4,30.72
KVPC,34.1158,-84.8507,34,15,0,0,30.09
KVNC,27.0728,-82.44,30,28,240,14,30.09
KVLL,42.543,-83.178,27.8,18,170,4,30.15
KVKS,32.2359,-90.9269,34,18,240,5,30.06
KVJI,36.6871,-82.037,31.1,9.8,350,5,30.16
KVHN,31.0602,-104.783,33.4,2.7,80,16,30.19
KVGC,42.8444,-75.5637,26,17,0,0,30.18
KVER,38.9496,-92.6842,30.8,21.8,170,7,30.08
KVDI,32.1933,-82.3642,35,21,320,6,30.04
KVDF,28.0198,-82.3415,30,25,230,6,30.09
KVCV,34.5933,-117.389,41,0,230,8,29.96
KVBW,38.366,-78.968,26.8,20.2,150,14,30.16
KVAF,27.3536,-94.6253,28,20,80,9,30.09
KUYF,39.9312,-83.465,29,17,0,0,30.13
KUXL,30.135,-93.3767,,,100,12,30.11
KUVA,29.2135,-99.743,27.8,23.2,20,5,30.10
KUUV,38.2335,-91.1609,27,19,220,7,30.13
KUTA,34.6766,-90.344,35,21.7,VRB,3,30.10
KUSE,41.6118,-84.1275,30,19,120,4,30.12
KUOX,34.3851,-89.5435,34,19,VRB,6,30.11
KUNU,43.4285,-88.7017,27.5,15.6,0,0,30.13
KUNI,39.2129,-82.2204,34.4,14.7,280,3,30.11
KUMP,39.936,-86.0478,29,20.8,360,7,30.11
KULS,37.6037,-101.377,39,8,200,12,29.98
KUKT,40.4368,-75.3802,26,23,0,0,30.18
KUKL,38.3041,-95.7217,,,160,12,30.01
KUBE,45.5046,-91.978,28,17,190,6,30.09
KU69,40.198,-110.387,35,-4,110,9,30.21
KU68,44.9113,-108.447,35,3,0,0,30.04
KU64,37.9333,-109.34,30.2,1.8,250,9,30.37
KU52,38.232,-112.672,36,-3,10,9,30.18
KU42,40.6196,-111.99,37.4,-3.6,0,0,30.12
KTYQ,40.0345,-86.2488,27.8,20.3,0,0,30.11
KTYL,34.4577,-110.112,34,3,320,4,30.25
KTXW,26.1824,-97.9742,32.9,23,100,9,30.03
KTWT,37.5432,-87.9568,27,21,330,11,30.17
KTWM,47.0192,-91.7447,29,19,200,14,30.03
KTVY,40.6127,-112.354,34,0,10,6,30.10
KTVK,40.6832,-92.8984,29,22,130,7,30.08
KTVI,30.9026,-83.8826,32,18,320,4,30.07
KTTF,41.9371,-83.4332,26.3,17.7,90,3,30.12
KTSP,35.1387,-118.442,34,9,300,8,30.08
KTQV,36.007,-78.937,23,22,140,7,30.11
KTQH,35.9304,-95.0025,34,21,180,10,30.09
KTPF,27.9153,-82.4518,25,21,330,9,30.10
KTOC,34.588,-83.2974,33.6,17.6,60,5,30.09
KTOB,44.0202,-92.8295,28,17,170,12,30.09
KTNU,41.6701,-93.019,28,23,170,10,30.06
KTNB,36.1988,-81.6515,23.8,18.8,100,5,30.06
KTMT,39.4643,-117.197,35.1,-1.7,330,5,30.23
KTMK,45.421,-123.814,19,19,330,9,30.12
KTME,29.806,-95.903,24,23,80,6,30.13
KTMA,31.4229,-83.4859,33.2,19.8,0,0,30.06
KTKX,36.2226,-90.0367,33,23,240,5,30.10
KTKV,45.469,-89.805,27.9,15.2,240,3,30.12
KTKC,44.25,-95.612,28,19,170,10,30.00
KTIP,40.291,-88.146,28,19.8,0,0,30.11
KTIF,41.9646,-100.569,29.7,16.6,190,7,30.00
KTHA,35.3804,-86.2419,32,16,350,7,30.10
KTGI,37.8279,-75.9964,24.9,23.9,140,5,30.17
KTFP,27.9132,-97.2132,34.6,22.9,180,6,30.04
KTEX,37.954,-107.909,26,-5,350,4,30.54
KTEW,42.5636,-84.4222,27.9,17.3,160,3,30.13
KTCY,37.6919,-121.444,37,13,30,7,29.80
KTBR,32.48,-81.738,33.4,19.7,360,5,30.03
KTAZ,39.535,-89.3294,28.9,20.7,0,0,30.10
KT89,29.2774,-103.691,34,14,110,6,30.04
KT82,30.239,-98.904,29.7,20.5,140,7,30.10
KT78,30.0754,-94.6996,26,25,0,0,30.09
KT74,30.5704,-97.4447,27.1,20.2,180,8,30.10
KT69,28.0418,-97.541,32,25,VRB,6,30.04
KT41,29.6709,-95.0644,25.5,23.6,330,3,30.11
KT35,30.8789,-96.9704,28.3,21.7,170,8,30.10
KT20,29.5301,-97.463,27.7,23.1,10,4,30.09
KSZY,35.2064,-88.5012,32,20,330,4,30.10
KSZT,48.2945,-116.567,28,8,140,6,30.02
KSYM,38.2199,-83.5835,31,18,250,4,30.12
KSYF,39.7583,-101.793,36,12,140,17,29.98
KSXU,34.9355,-104.637,33.9,5.2,170,13,30.16
KSXK,42.9895,-96.1645,29,23,140,14,29.98
KSWW,32.4688,-100.467,37.3,12.1,140,6,30.12
KSVC,32.631,-108.147,32.1,4.4,80,10,30.27
KSUZ,34.5862,-92.4802,33,23,VRB,5,30.10
KSUW,46.6833,-92.0926,30.4,17.3,240,9,30.02
KSTK,40.6133,-103.261,37,6,0,0,29.99
KSTF,33.4326,-88.8506,34,16,80,4,30.06
KSTE,44.5437,-89.5347,30.2,17.3,210,7,30.11
KSSI,31.1527,-81.3905,31,25,360,10,30.02
KSRR,33.4667,-105.528,27,4,150,11,30.40
KSRE,35.271,-96.675,32,20,210,8,30.05
KSRB,36.0529,-85.536,32,18,10,6,30.11
KSPK,40.1497,-111.677,32,12,290,5,30.10
KSPG,27.7685,-82.6257,30,24.4,0,0,30.06
KSPF,44.4811,-103.788,33,10,230,9,30.03
KSPA,34.9106,-81.9589,30,19,0,0,30.07
KSOW,34.2686,-110.002,32,4,190,7,30.30
KSOA,30.5853,-100.651,,,160,7,30.14
KSNL,35.3611,-96.9445,33.3,18.5,210,14,30.05
KSNK,32.6917,-100.951,35.3,11.5,90,9,30.10
KSNC,41.383,-72.506,26,25,190,4,30.19
KSMS,34.0003,-80.3582,24,24,,,30.07
KSME,37.0529,-84.6141,32,20,270,6,30.09
KSMD,41.144,-85.1492,31,20,0,0,30.11
KSLR,33.1615,-95.6189,33.3,19.5,150,6,30.10
KSLO,38.6446,-88.9612,30.5,22.2,0,0,30.10
KSLH,45.6523,-84.5202,26,17,0,0,30.10
KSLB,42.5972,-95.2399,29,23,160,10,30.04
KSJX,45.6928,-85.5662,25.8,14.5,230,11,30.12
KSJS,37.7489,-82.6413,32.2,16.5,250,3,30.12
KSIK,36.9027,-89.5577,28.5,22.3,290,11,30.11
KSHL,43.2082,-95.8354,29,21,160,15,30.00
KSHD,38.2601,-78.9013,23.7,19.6,150,7,30.20
KSGS,44.8601,-93.0321,29.3,15.4,160,8,30.05
KSFQ,36.6825,-76.6013,24.7,23.7,100,7,30.15
KSEZ,34.8467,-111.788,35,8,0,0,30.15
KSEP,32.215,-98.1793,33,14.6,140,5,30.11
KSEM,32.3367,-86.9836,35,16,VRB,3,30.07
KSEF,27.4553,-81.3415,32,24,150,12,30.06
KSDC,43.2355,-77.1201,27,17,50,3,30.15
KSDA,40.7533,-95.4112,30,23,140,10,29.99
KSCX,36.4553,-84.584,32,16,VRB,4,30.13
KSCD,33.1732,-86.2933,33.7,17.4,0,0,30.10
KSBX,48.541,-111.871,26,10,360,15,30.14
KSBS,40.5153,-106.868,29.5,2.4,180,3,30.32
KSBO,32.6111,-82.3702,33,20,0,0,30.05
KSAZ,46.3785,-94.8017,29,17,180,12,30.02
KSAR,38.1463,-89.7025,29.1,21.7,280,5,30.11
KSAA,41.447,-106.815,33,-5,280,10,30.30
KS52,48.4282,-120.15,33.3,5.6,140,4,29.99
KS39,44.2858,-120.901,31,-6,VRB,5,30.07
KS34,47.4718,-114.901,33,1,0,0,29.98
KS33,44.6653,-121.157,30,-1,350,4,30.06
KS32,47.424,-98.11,29,24,170,15,29.91
KS25,47.7954,-103.257,32,24,80,8,29.87
KS24,41.296,-83.037,26,23,30,6,30.11
KS12,44.6394,-123.058,25,11,320,8,30.04
KRZT,39.4402,-83.0209,30,15,0,0,30.11
KRZR,35.207,-84.8005,34,14,VRB,3,30.06
KRZN,45.8229,-92.3706,30.3,14.9,230,12,30.07
KRZL,40.9488,-87.1851,27,20,0,0,30.12
KRYW,30.498,-97.969,29.1,21.9,140,9,30.14
KRYV,43.1702,-88.7251,28.6,15.2,70,5,30.12
KRWV,30.5161,-96.7051,25.2,22.1,120,5,30.12
KRVL,40.6768,-77.6251,31,19,160,6,30.13
KRVJ,32.059,-82.153,33.2,22,0,0,30.03
KRVF,45.534,-112.303,33,4,160,6,30.10
KRTS,39.6658,-119.873,35,-7,70,6,30.19
KRRT,48.9318,-95.3405,29,21,220,9,29.95
KRRL,45.1985,-89.71,28.6,16.7,230,4,30.10
KRQO,35.4709,-98.0061,35.3,18.9,180,16,30.05
KRQB,43.722,-85.498,28.4,14.6,220,4,30.12
KRPJ,41.8906,-89.0817,27.6,16.4,0,0,30.13
KRPH,33.1096,-98.5537,34.8,17.5,120,8,30.03
KRPD,45.4186,-91.7764,27.9,16.5,200,6,30.10
KROX,48.856,-95.6949,29,19,200,11,29.95
KROS,45.6962,-92.9543,28.3,15.4,180,6,30.06
KRNP,42.9937,-84.1347,29,17,200,4,30.12
KRNH,45.1476,-92.5335,28.5,17.1,190,8,30.07
KRNC,35.6991,-85.8402,34,17,350,10,30.10
KRMY,42.2524,-84.9526,27.8,17.2,0,0,30.13
KRMN,38.3941,-77.4523,26.4,20.8,20,3,30.15
KRLD,46.3086,-119.306,33.4,8.6,40,4,29.94
KRKW,35.922,-84.689,32,14,80,7,30.12
KRKR,35.0187,-94.6202,34,20,190,11,30.08
KRGK,44.5927,-92.4844,29,16,180,4,30.05
KRGA,37.6305,-84.329,35,17,270,8,30.12
KRFI,32.1441,-94.8539,36.1,22.9,170,7,30.10
KREG,30.1756,-90.9397,33.5,23.7,190,3,30.07
KRDK,41.0107,-95.2622,30,22,150,10,30.01
KRCX,45.4935,-90.9985,28.4,18.4,180,6,30.11
KRCV,37.7092,-106.355,28.9,6.1,90,7,30.40
KRCR,41.0651,-86.1864,28,22,0,0,30.11
KRCE,35.4971,-97.8255,35,17,200,15,30.03
KRBW,32.921,-80.64,28,25,90,4,30.03
KRBO,27.7781,-97.6878,31.7,24.1,140,7,30.04
KRAS,27.8083,-97.0853,30.4,22.8,100,6,30.07
KPZQ,45.4085,-83.812,23,18.1,0,0,30.13
KPYX,36.4103,-100.751,,,240,9,30.02
KPXE,32.5072,-83.7656,33.3,17.9,280,5,30.06
KPWD,48.7912,-104.525,29,19,110,8,29.88
KPWC,46.7266,-94.3849,28,17,160,9,30.05
KPVW,34.169,-101.723,33.3,6.8,0,0,30.13
KPVJ,34.7041,-97.2211,33.4,19.9,190,7,30.05
KPVG,36.7824,-76.452,24,23,,,30.16
KPVF,38.7222,-120.757,38,4,280,6,29.99
KPVB,42.6909,-90.4413,28,17,150,7,30.12
KPUJ,33.9085,-84.9369,31,12,310,4,30.12
KPTT,37.7069,-98.7453,34.2,17.1,190,11,29.98
KPTS,37.4512,-94.7322,31.5,21.1,170,12,30.03
KPTD,44.6757,-74.9469,26,20,230,7,30.14
KPTB,37.1803,-77.5081,24.5,23.3,210,4,30.14
KPSO,37.291,-107.056,25.7,4.9,60,7,30.43
KPSN,31.7784,-95.7048,32,23,170,7,30.07
KPSK,37.1337,-80.6789,25,18.5,80,3,30.20
KPRG,39.6982,-87.6669,29,20.7,280,4,30.11
KPPQ,39.6391,-90.7818,29.1,22.6,0,0,30.10
KPPO,41.5705,-86.7333,28,21,310,6,30.11
KPPA,35.6139,-100.997,36.8,13.3,200,8,30.10
KPOY,44.8641,-108.79,34,0,20,6,30.11
KPOV,41.209,-81.2479,28.2,14.5,0,0,30.15
KPNT,40.9233,-88.6213,28.9,18.3,150,5,30.11
KPNM,45.556,-93.608,31,14,210,12,30.05
KPNA,42.7929,-109.805,30,-2,270,15,30.34
KPMV,40.9446,-95.9124,29.6,22.8,150,10,30.00
KPMU,34.3656,-89.8904,35,18,VRB,4,30.08
KPLU,47.1005,-122.285,25,12,0,0,30.09
KPLR,33.5608,-86.2463,34,17,0,0,30.09
KPLD,40.4532,-84.9848,28,18,210,3,30.11
KPJC,40.8009,-80.1624,30,13,270,4,30.13
KPIM,32.8421,-84.8766,34,18,VRB,4,30.10
KPHT,36.3322,-88.3871,32,21,0,0,30.11
KPHN,42.9103,-82.5332,27,18,0,0,30.13
KPHL,39.8733,-75.2268,26.1,22.8,0,0,30.16
KPEZ,28.9561,-98.5184,26.8,22.7,300,12,30.08
KPEQ,31.382,-103.512,34.7,9.9,110,10,30.09
KPEA,41.3989,-92.9431,28,21.2,170,10,30.07
KPDC,43.0194,-91.1212,28.3,17.4,140,6,30.09
KPCZ,44.3342,-89.0203,30.1,17.4,190,8,30.10
KPCW,41.5188,-82.8692,28,21,60,8,30.11
KPCM,28.0013,-82.1593,35,25,240,5,30.09
KPCD,37.8749,-89.8582,29.3,22.2,350,4,30.10
KPBX,37.5587,-82.5674,31.5,14.6,40,3,30.13
KPBH,45.7064,-90.4052,27.6,16.9,220,5,30.10
KPAN,34.2551,-111.338,33,6,VRB,5,30.21
KP52,34.7263,-112.034,38,8,VRB,6,30.02
KOZW,42.6327,-83.9854,28,17.5,140,6,30.13
KOZS,37.9745,-92.6897,27,17,240,8,30.12
KOZR,31.2767,-85.7105,34,19,310,5,30.05
KOZA,30.7312,-101.203,32,13,190,7,30.13
KOYM,41.4118,-78.5131,26,16,220,3,30.22
KOYE,28.8669,-90.4911,31,24,0,0,30.09
KOXV,41.2984,-93.1114,28,20,150,9,30.06
KOXI,41.3275,-86.665,28,14,140,3,30.10
KOWP,36.1721,-96.1536,36,19.5,200,9,30.05
KOWI,38.5409,-95.2542,33,24,170,8,30.00
KOVL,44.7792,-95.0304,28,18,160,12,30.01
KOSC,44.453,-83.396,23.1,19,100,3,30.13
KOSA,33.0936,-94.9601,32.4,21.9,160,6,30.08
KORS,48.7081,-122.909,19,15,340,6,30.08
KORK,34.833,-92.2557,32,22,130,5,30.10
KORG,30.068,-93.8043,32.5,21.5,0,0,30.11
KOQN,39.9889,-75.5803,25,22,0,0,30.17
KOPN,32.954,-84.2595,32,13,340,5,30.11
KOOA,41.2273,-92.4919,29.7,21.2,160,8,30.08
KONZ,42.0991,-83.161,26.5,14,0,0,30.13
KONX,36.399,-76.014,27.4,22.2,150,9,30.14
KONP,44.5825,-124.057,15,11,340,16,30.13
KONM,34.0263,-106.904,34.2,4,160,7,30.21
KONL,42.4691,-98.6903,31.6,21.3,160,12,29.97
KONA,44.076,-91.707,29,17,210,6,30.08
KOMH,38.2487,-78.0454,24,22,20,3,30.18
KOLZ,42.6831,-91.976,28,19,140,10,30.10
KOLY,38.7213,-88.1799,29.2,21.1,170,3,30.11
KOLG,46.3153,-91.8183,29,17,230,6,30.06
KOLE,42.2429,-78.3721,25,15,0,0,30.21
KOKZ,32.9651,-82.8387,32.6,17.7,330,4,30.05
KOKV,39.1406,-78.1391,26,18,100,8,30.15
KOKM,35.6713,-95.9514,35.1,19.9,170,15,30.04
KOJA,35.5484,-98.6702,37.5,14.3,240,16,30.02
KOIN,39.8298,-100.538,35.7,16.8,160,10,30.01
KOIC,42.5642,-75.5269,27.3,18.5,230,3,30.19
KOGS,44.68,-75.4641,26,21,190,6,30.11
KOGA,41.1164,-101.768,33.7,16.3,120,11,30.02
KOEO,45.3108,-92.6948,29.1,17.8,180,7,30.10
KOEL,39.1139,-100.819,35,7.9,150,8,30.00
KOEB,41.9308,-85.0544,28.1,19.7,0,0,30.13
KOCQ,44.8749,-87.9084,29.3,18.7,150,5,30.07
KOBE,27.2663,-80.8487,31,24,170,8,30.06
KOAR,36.6815,-121.757,11,7,270,14,29.92
KO86,40.9845,-122.693,37,10,60,4,29.95
KO69,38.2601,-122.607,30,13,VRB,5,29.84
KO54,40.746,-122.922,37,11,0,0,29.95
KO32,36.6691,-119.453,35.8,18.2,160,7,29.79
KO22,38.03,-120.415,40,3,220,5,29.91
KO05,40.2865,-121.243,33,1,100,8,30.16
KNY0,42.999,-74.3292,25.7,18.3,240,5,30.17
KNUQ,37.4059,-122.049,27,17,340,7,29.84
KNRN,39.8497,-99.8915,35,20,150,11,30.00
KNOW,48.1394,-123.403,15.7,12.4,310,6,30.10
KN79,40.8371,-76.546,24.4,21.6,170,5,30.16
KN38,41.7287,-77.3958,26,18,VRB,3,30.18
KN03,42.5929,-76.2174,27,16,290,5,30.17
KMZZ,40.4863,-85.6859,27.3,20.8,0,0,30.12
KMZJ,32.5147,-111.335,40,8,0,0,29.93
KMZH,46.4163,-92.8049,29,17,200,6,30.05
KMYZ,39.8544,-96.6279,31,22,150,8,29.99
KMYP,38.4972,-106.32,17,0,310,12,30.87
KMYJ,39.1561,-91.8129,,,200,7,30.09
KMXO,42.2203,-91.1604,29,20,140,9,30.08
KMWO,39.5324,-84.3973,27.1,19.1,270,3,30.12
KMWM,43.91,-95.1073,29,17,150,12,30.02
KMVH,46.838,-108.936,28,8,320,13,30.10
KMVE,44.9675,-95.7116,28,19,180,10,30.00
KMUT,41.367,-91.1406,29,20,130,6,30.09
KMTV,36.6272,-80.0134,26.4,19.1,50,5,30.17
KMTK,28.6967,-89.3958,,,0,0,30.10
KMRT,40.2237,-83.3475,28.5,19.9,200,4,30.12
KMRJ,42.8875,-90.2315,27,18,140,7,30.15
KMQW,32.0942,-82.882,35,19,320,5,30.04
KMQS,39.9773,-75.8605,25,25,10,4,30.18
KMQJ,39.8402,-85.894,29.2,21.4,0,0,30.12
KMQB,40.5176,-90.6481,28.4,21.1,120,5,30.12
KMPZ,40.9453,-91.5122,28,20,150,6,30.09
KMPR,38.3491,-97.6883,35.2,19.5,150,13,29.96
KMOX,45.5677,-95.9659,29,19,170,13,29.97
KMOR,36.1746,-83.3853,33,12,330,8,30.07
KMOP,43.6229,-84.743,26.7,16.1,140,4,30.12
KMNZ,31.6697,-98.1462,34.3,16.8,190,8,30.08
KMNV,35.5429,-84.3808,34,15,40,6,30.09
KMNI,33.5882,-80.2059,25,25,0,0,30.05
KMNH,39.2232,-104.642,32,-5,330,13,30.29
KMNE,32.6433,-93.2972,32,16,360,3,30.10
KMMI,35.3952,-84.5612,34,14,VRB,3,30.09
KMMH,37.6253,-118.838,30,-3.8,140,5,30.35
KMLJ,33.153,-83.242,35,18,60,4,30.04
KMLE,41.1981,-96.1131,29.4,22.4,120,9,29.98
KMKS,33.1874,-80.0363,25,25,140,3,30.03
KMKN,31.924,-98.5978,37.3,17.2,100,7,30.08
KMKJ,36.8944,-81.3449,26.3,18.7,120,5,30.22
KMJD,30.494,-89.6535,31,27,190,4,30.07
KMIO,36.9128,-94.8893,34,22,170,14,30.03
KMHR,38.56,-121.284,38,11,VRB,5,29.76
KMHP,32.374,-82.079,34.3,20.7,320,4,30.03
KMHL,39.093,-93.2024,29,21,180,8,30.07
KMGR,31.0835,-83.8035,33.5,18.9,310,6,30.06
KMGN,45.4241,-84.913,25.9,15.6,260,4,30.11
KMGG,45.2354,-93.9896,28.7,15.6,170,9,30.05
